AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
AISSATA,28,300000
SERE,38,600000
YANON,30,1000000
DOSSO,38,1300000
OUMY,28,500000
KUASSI,28,100000
